repeat,seed,fold,task,pos,neg,AUROC,AUPRC,F1,Precision,Recall
2,44,0,immune,3,6,0.611,0.514,0.667,0.667,0.667
2,44,0,chronic,2,9,0.778,0.667,0.333,0.25,0.5
2,44,0,stage3,5,4,0.7,0.768,0.667,0.571,0.8
2,44,1,immune,3,6,0.722,0.792,0.8,1.0,0.667
2,44,1,chronic,2,9,0.556,0.361,0.5,0.5,0.5
2,44,1,stage3,9,2,0.278,0.744,0.667,0.833,0.556
2,44,2,immune,3,6,0.667,0.5,0.333,0.333,0.333
2,44,2,chronic,2,9,0.444,0.267,0.0,0.0,0.0
2,44,2,stage3,7,3,0.762,0.874,0.875,0.778,1.0
2,44,3,immune,3,6,0.722,0.533,0.0,0.0,0.0
2,44,3,chronic,2,9,0.722,0.367,0.0,0.0,0.0
2,44,3,stage3,4,6,0.5,0.475,0.462,0.333,0.75
2,44,4,immune,2,6,0.667,0.45,0.333,0.25,0.5
2,44,4,chronic,2,8,0.75,0.45,0.5,0.5,0.5
2,44,4,stage3,9,1,1.0,1.0,0.947,0.9,1.0
3,45,0,immune,3,6,0.5,0.444,0.571,0.5,0.667
3,45,0,chronic,2,9,0.444,0.267,0.4,0.333,0.5
3,45,0,stage3,5,5,0.2,0.405,0.462,0.375,0.6
3,45,1,immune,3,6,0.556,0.587,0.5,1.0,0.333
3,45,1,chronic,2,9,0.778,0.417,0.0,0.0,0.0
3,45,1,stage3,9,2,0.556,0.898,0.571,0.8,0.444
3,45,2,immune,3,6,0.611,0.467,0.5,0.4,0.667
3,45,2,chronic,2,9,0.833,0.5,0.5,0.5,0.5
3,45,2,stage3,8,2,0.75,0.932,0.875,0.875,0.875
3,45,3,immune,3,6,0.389,0.387,0.0,0.0,0.0
3,45,3,chronic,2,9,0.611,0.611,0.333,0.25,0.5
3,45,3,stage3,7,3,0.619,0.833,0.769,0.833,0.714
3,45,4,immune,2,6,0.583,0.367,0.0,0.0,0.0
3,45,4,chronic,2,8,0.688,0.643,0.4,0.333,0.5
3,45,4,stage3,5,4,0.35,0.506,0.4,0.4,0.4
4,46,0,immune,3,6,0.778,0.81,0.667,0.667,0.667
4,46,0,chronic,2,9,0.833,0.7,0.571,0.4,1.0
4,46,0,stage3,7,2,0.786,0.948,0.857,0.857,0.857
4,46,1,immune,3,6,0.389,0.356,0.333,0.333,0.333
